request,success,person_processing_time,garment_processing_time,quality_gate_time,inference_time,total_time,pose_quality,mask_quality,garment_quality,failure_reason
1,True,0.6323,0.8539,0.0,0.6242,2.1104,0.9971,0.719,1.0,
2,True,0.6465,0.9369,0.0,0.6194,2.2029,0.9971,0.719,1.0,
3,True,0.6112,0.9421,0.0,0.6918,2.2451,0.9971,0.719,1.0,
4,True,0.7365,0.8907,0.0,0.7706,2.3979,0.9971,0.719,1.0,
5,True,0.8514,1.0304,0.0,0.7419,2.6237,0.9971,0.719,1.0,
6,True,0.8384,0.9866,0.0,0.8268,2.6518,0.9971,0.719,1.0,
7,True,0.8147,0.9967,0.0,0.7248,2.5362,0.9971,0.719,1.0,
8,True,0.7689,0.9906,0.0,0.728,2.4876,0.9971,0.719,1.0,
9,True,0.8677,0.9841,0.0,1.0035,2.8554,0.9971,0.719,1.0,
10,True,0.9873,1.1545,0.0,0.7805,2.9223,0.9971,0.719,1.0,
